id,holiday,workingday,humidity,windspeed,demand,temp_code,weather_code
1,No,No,81,0,2.772588722,9.84-14.395-Cold,-1
2,No,No,80,0,3.688879454,9.02-13.635-Cold,-1
3,No,No,80,0,3.465735903,9.02-13.635-Cold,-1
4,No,No,75,0,2.564949357,9.84-14.395-Cold,-1
5,No,No,75,0,0,9.84-14.395-Cold,-1
6,No,No,75,6.0032,0,9.84-12.88-Cold,-2
7,No,No,80,0,0.6931471806,20.1-13.635-Mild,-1
8,No,No,86,0,1.098612289,8.2-12.88-Cold,-1
9,No,No,75,0,2.079441542,9.84-14.395-Cold,-1
10,No,No,76,0,2.63905733,13.12-17.425-Mild,-1
11,No,No,76,16.9979,3.583518938,15.58-19.695-Mild,-1
12,No,No,81,19.0012,4.025351691,14.76-16.665-Mild,-1
13,No,No,77,19.0012,4.430816799,17.22-21.21-Mild,-1
14,No,No,72,19.9995,4.543294782,18.86-22.725-Mild,-2
15,No,No,72,19.0012,4.663439094,18.86-22.725-Mild,-2
16,No,No,77,19.9995,4.700480366,18.04-21.97-Mild,-2
17,No,No,82,19.9995,4.532599493,17.22-21.21-Mild,-2
18,No,No,82,19.0012,4.204692619,18.04-21.97-Mild,-2
19,No,No,88,16.9979,3.555348061,17.22-21.21-Mild,-3
20,No,No,88,16.9979,3.610917913,20.11-21.21-Mild,-3
21,No,No,87,16.9979,3.583518938,16.4-20.455-Mild,-2
22,No,No,87,12.998,3.526360525,16.4-20.455-Mild,-2
23,No,No,94,15.0013,3.33220451,16.4-20.455-Mild,-2
24,No,No,88,19.9995,3.663561646,20.11-22.725-Mild,-2
25,No,No,88,19.9995,2.833213344,18.86-22.725-Mild,-2
26,No,No,94,16.9979,2.833213344,18.04-21.97-Mild,-2
27,No,No,100,19.0012,2.197224577,20.11-21.21-Mild,-2
28,No,No,94,12.998,1.791759469,18.86-22.725-Mild,-2
29,No,No,94,12.998,1.098612289,18.86-22.725-Mild,-2
30,No,No,77,19.9995,0.6931471806,17.22-21.21-Mild,-3
31,No,No,76,12.998,0,16.4-20.455-Mild,-2
32,No,No,71,15.0013,2.079441542,20.11-20.455-Mild,-3
33,No,No,76,15.0013,2.995732274,15.58-19.695-Mild,-2
34,No,No,81,15.0013,3.970291914,14.76-17.425-Mild,-2
35,No,No,71,16.9979,4.248495242,14.76-16.665-Mild,-2
36,No,No,66,19.9995,4.532599493,14.76-23.55-Mild,-2
37,No,No,66,8.9981,4.317488114,14.76-17.425-Mild,-2
38,No,No,76,12.998,4.077537444,14.76-17.425-Mild,-3
39,No,No,81,11.0014,4.304065093,13.94-16.665-Mild,-3
40,No,No,71,11.0014,4.33073334,20.11-16.665-Mild,-3
41,No,No,57,12.998,4.17438727,13.94-16.665-Mild,-1
42,No,No,46,22.0028,3.970291914,14.76-16.665-Mild,-2
43,No,No,42,30.0026,3.401197382,13.12-14.395-Mild,-1
44,No,No,39,23.9994,3.091042453,20.12-13.635-Mild,-1
45,No,No,44,22.0028,3.433987204,10.66-11.365-Mild,-1
46,No,No,44,19.9995,2.197224577,9.84-10.605-Cold,-1
47,No,No,47,11.0014,2.079441542,20.12-11.365-Mild,-1
48,No,Yes,44,23.9994,1.609437912,9.02-9.85-Cold,-1
49,No,Yes,44,27.9993,0.6931471806,20.12-8.335-Mild,-1
50,No,Yes,47,26.0027,0,6.56-6.82-Cold,-1
51,No,Yes,47,19.0012,1.098612289,6.56-6.82-Cold,-1
52,No,Yes,50,26.0027,3.401197382,5.74-5.305-Cold,-1
53,No,Yes,,12.998,4.158883083,20.13-6.82-Mild,-1
54,No,Yes,50,19.0012,5.036952602,5.74-6.06-Cold,-1
55,No,Yes,43,26.0027,4.477336814,6.56-6.82-Cold,-1
56,No,Yes,43,16.9979,3.784189634,7.38-8.335-Cold,-1
57,No,Yes,40,22.0028,3.931825633,8.2-9.09-Cold,-1
58,No,Yes,35,19.9995,4.110873864,20.13-10.605-Mild,-1
59,No,Yes,35,19.0012,4.110873864,9.84-10.605-Cold,-1
60,No,Yes,30,19.0012,4.343805422,10.66-12.12-Mild,-1
61,No,Yes,30,16.9979,4.276666119,10.66-12.12-Mild,-1
62,No,Yes,30,16.9979,4.33073334,10.66-12.12-Mild,-1
63,No,Yes,30,15.0013,5.056245805,9.84-11.365-Cold,-1
